"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Adamts6","MGI:1347348","10","preweaning lethality, complete penetrance::abnormal craniofacial morphology::edema::abnormal placenta morphology::cataract::abnormal eye morphology::abnormal kidney morphology::small kidney::abnormal vitreous body morphology::abnormal placenta vasculature"
"Ak7","MGI:1926051","11","abnormal thymus morphology::abnormal spleen morphology::decreased circulating potassium level::abnormal ovary morphology::enlarged heart::abnormal testis morphology::kyphosis::small testis::abnormal skin morphology::enlarged thymus::abnormal heart morphology"
"Rab3gap1","MGI:2445001","3","increased circulating alkaline phosphatase level::decreased mean corpuscular hemoglobin::increased grip strength"
"Gtf2b","MGI:2385191","5","preweaning lethality, complete penetrance::hypoplasia/Eye - MPATH pathological process term::embryonic lethality prior to tooth bud stage::dysplasia/Eye - MPATH pathological process term::embryonic lethality prior to organogenesis"
"Pipox","MGI:1197006","2","shortened QRS complex duration::decreased locomotor activity"
"Thg1l","MGI:1913878","2","preweaning lethality, complete penetrance::enlarged cecum"
"Sesn1","MGI:2155278","3","increased aggression::increased mean corpuscular volume::increased mean corpuscular hemoglobin"
"Rilpl2","MGI:1933112","2","increased heart weight::increased fasting circulating glucose level"
"Scmh1","MGI:1352762","3","abnormal liver morphology::enlarged cecum::abnormal auditory brainstem response"
"Rilpl1","MGI:1922945","2","increased fasting circulating glucose level::increased startle reflex"
"Ffar3","MGI:2685324","6","small liver::abnormal liver morphology::microphthalmia::abnormal kidney morphology::abnormal eye morphology::enlarged kidney"
"Eif4ebp3","MGI:1270847","2","eye hemorrhage::increased vertical activity"
"Map4k5","MGI:1925503","4","abnormal kidney morphology::short tibia::preweaning lethality, incomplete penetrance::decreased body length"
"Kng2","MGI:3027157","2","increased circulating creatinine level::abnormal response to new environment"
"Cnot10","MGI:1926143","4","preweaning lethality, complete penetrance::hyperactivity::embryonic growth retardation::increased grip strength"
"Vsig10","MGI:2448533","1","increased leukocyte cell number"
"Mcl1","MGI:101769","12","preweaning lethality, complete penetrance::increased mean corpuscular volume::microphthalmia::abnormal eye morphology::increased grip strength::anophthalmia::small spleen::enlarged lymph nodes::abnormal lymph node morphology::embryonic lethality prior to organogenesis::abnormal heart morphology::small heart"
"Ptprd","MGI:97812","8","improved glucose tolerance::increased bone mineral content::increased circulating iron level::decreased total body fat amount::increased lean body mass::decreased grip strength::preweaning lethality, incomplete penetrance::increased leukocyte cell number"
"Ptpra","MGI:97808","4","increased startle reflex::decreased prepulse inhibition::increased mean corpuscular hemoglobin::decreased grip strength"
"AI467606","MGI:2141979","1","preweaning lethality, incomplete penetrance"
"Chrna2","MGI:87886","5","abnormal kidney morphology::small kidney::thick skin::abnormal skin morphology::abnormal caudal vertebrae morphology"
"Bcl9","MGI:1924828","2","preweaning lethality, complete penetrance::preweaning lethality, incomplete penetrance"
"Chrna1","MGI:87885","1","preweaning lethality, complete penetrance"
"Chrna7","MGI:99779","3","increased circulating cholesterol level::increased circulating HDL cholesterol level::abnormal bone structure"
"Chrna5","MGI:87889","5","abnormal skin coloration::decreased lymphocyte cell number::decreased erythrocyte cell number::increased neutrophil cell number::increased basophil cell number"
"Rbpms","MGI:1334446","2","preweaning lethality, complete penetrance::increased circulating alkaline phosphatase level"
"Bcl3","MGI:88140","3","abnormal snout morphology::thrombocytopenia::increased spleen weight"
"Gimap3","MGI:1932723","1","abnormal cornea morphology"
"Gimap8","MGI:2685303","2","increased heart weight::decreased erythrocyte cell number"
"Gimap6","MGI:1918876","20","increased memory-marker CD4-negative NK T cell number::increased monocyte cell number::increased fasting circulating glucose level::increased circulating alkaline phosphatase level::decreased circulating iron level::decreased mean corpuscular hemoglobin::increased circulating HDL cholesterol level::increased circulating chloride level::increased circulating sodium level::impaired glucose tolerance::increased circulating calcium level::decreased lean body mass::increased circulating cholesterol level::increased heart weight::decreased mean corpuscular volume::decreased circulating amylase level::increased blood urea nitrogen level::decreased memory-marker CD4-negative NK T cell number::decreased CD4-negative NK T cell number::increased total body fat amount"
"Vps72","MGI:1202305","1","preweaning lethality, complete penetrance"
"Tnks1bp1","MGI:2446193","2","decreased circulating serum albumin level::hyperactivity"
"Galnt2","MGI:894694","1","preweaning lethality, incomplete penetrance"
"Pdlim7","MGI:1914649","11","small liver::abnormal liver morphology::enlarged spleen::abnormal spleen morphology::cataract::enlarged heart::abnormal vitreous body morphology::enlarged lymph nodes::abnormal skin morphology::abnormal lymph node morphology::increased mean platelet volume"
"Birc7","MGI:2676458","1","increased mean platelet volume"
"Birc6","MGI:1276108","6","increased circulating creatine kinase level::preweaning lethality, complete penetrance::edema::enlarged heart::no spontaneous movement::abnormal heart morphology"
"Pdlim4","MGI:1353470","8","increased thigmotaxis::abnormal pancreas morphology::improved glucose tolerance::short tibia::decreased circulating glucose level::increased anxiety-related response::decreased locomotor activity::abnormal behavior"
"Dtx3l","MGI:2656973","7","decreased circulating cholesterol level::decreased circulating serum albumin level::increased circulating alkaline phosphatase level::increased mean corpuscular volume::hyperactivity::increased mean corpuscular hemoglobin::increased circulating aspartate transaminase level"
"Nfkbil1","MGI:1340031","2","decreased circulating serum albumin level::increased grip strength"
"Rp9","MGI:2157166","4","increased circulating alanine transaminase level::abnormal uterus morphology::hydrometra::decreased body length"
"Nadk2","MGI:1915896","7","preweaning lethality, complete penetrance::increased mean corpuscular hemoglobin concentration::embryonic lethality prior to tooth bud stage::abnormal coat/hair pigmentation::abnormal embryo turning::persistence of hyaloid vascular system::decreased fasting circulating glucose level"
"Dis3","MGI:1919912","5","preweaning lethality, complete penetrance::increased startle reflex::impaired glucose tolerance::abnormal vitreous body morphology::abnormal retina morphology"
"9930012K11Rik","MGI:2145726","3","abnormal skin coloration::increased total retina thickness::decreased cornea thickness"
"Fam53a","MGI:1919225","13","abnormal spine curvature::abnormal thymus morphology::abnormal spleen morphology::microphthalmia::abnormal eye morphology::increased circulating total protein level::abnormal seminal vesicle morphology::increased prepulse inhibition::enlarged thymus::abnormal skin morphology::enlarged heart::enlarged seminal vesicle::abnormal heart morphology"
"Fam53b","MGI:1925188","9","increased mean corpuscular volume::increased cardiac stroke volume::decreased red blood cell distribution width::increased circulating sodium level::decreased prepulse inhibition::increased mean corpuscular hemoglobin::decreased erythrocyte cell number::abnormal auditory brainstem response::increased circulating fructosamine level"
"Fam53c","MGI:1913556","1","decreased exploration in new environment"
"Vps4a","MGI:1890520","11","preweaning lethality, complete penetrance::enlarged spleen::cataract::unresponsive to tactile stimuli::tremors::increased spleen weight::abnormal lens morphology::abnormal body wall morphology::abnormal skin morphology::protruding tongue::abnormal embryo size"
"Mcm4","MGI:103199","5","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::increased grip strength::abnormal lens morphology::embryonic lethality prior to organogenesis"
"3830406C13Rik","MGI:1917937","1","increased red blood cell distribution width"
"Vps51","MGI:1915755","3","preweaning lethality, complete penetrance::increased grip strength::increased circulating bilirubin level"
"Rpe","MGI:1913896","14","preweaning lethality, complete penetrance::enlarged spleen::abnormal liver morphology::abnormal spleen morphology::abnormal kidney morphology::abnormal seminal vesicle morphology::abnormal testis morphology::absent seminal vesicle::enlarged kidney::small testis::enlarged uterus::enlarged seminal vesicle::embryonic lethality prior to organogenesis::small heart"
"Vps53","MGI:1915549","2","preweaning lethality, complete penetrance::abnormal vertebral arch morphology"
"Vps54","MGI:2178798","5","preweaning lethality, complete penetrance::embryonic growth retardation::abnormal visceral yolk sac morphology::abnormal embryo turning::preweaning lethality, incomplete penetrance"
"Ptpn2","MGI:97806","1","lipid deposition/Liver - MPATH process term"
"Mtor","MGI:1928394","1","preweaning lethality, complete penetrance"
"Ptpn5","MGI:97807","1","increased heart weight"
"Acadvl","MGI:895149","2","impaired glucose tolerance::decreased fasting circulating glucose level"
"Rbpjl","MGI:1196616","3","decreased locomotor activity::increased circulating amylase level::head bobbing"
"Lrrk1","MGI:2142227","38","abnormal tooth morphology::increased circulating phosphate level::abnormal gait::thrombocytopenia::abnormal eyelid morphology::short tibia::increased circulating iron level::abnormal pelvic girdle bone morphology::abnormal zygomatic bone morphology::decreased lean body mass::abnormal humerus morphology::increased circulating cholesterol level::abnormal snout morphology::decreased eosinophil cell number::increased bone mineral content::abnormal clavicle morphology::abnormal fibula morphology::increased bone mineral density::decreased circulating alkaline phosphatase level::abnormal mandible morphology::abnormal joint morphology::decreased leukocyte cell number::increased circulating HDL cholesterol level::abnormal radius morphology::decreased lymphocyte cell number::abnormal tibia morphology::increased neutrophil cell number::abnormal maxilla morphology::abnormal rib morphology::increased red blood cell distribution width::increased circulating creatine kinase level::abnormal ulna morphology::abnormal locomotor behavior::abnormal vertebrae morphology::absent teeth::increased circulating aspartate transaminase level::increased total body fat amount::abnormal femur morphology"
